Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017,7,1,1632.127742,1422.534058,1245.746297,1151.497428,1122.232899,1125.938556,1158.626468,1258.783067,1392.654553,1473.181004,1393.998913,1253.340619,1198.97318,1194.626821,1258.942708,1333.088463,1517.810113,1732.640157,1968.279719,1910.352927,1814.416265,1722.877495,1622.49501,1535.163019
2017,7,2,1665.853309,1475.93311,1302.804706,1198.365885,1115.179467,1102.737648,1115.199352,1164.267591,1234.251855,1233.692475,1156.68211,1104.19236,1066.096688,1070.826852,1097.423876,1183.919894,1312.67754,1571.871234,1853.135866,1889.660216,1841.953949,1765.63136,1621.400515,1451.030275
2017,7,3,1560.769197,1377.981167,1225.507786,1154.078862,1119.99411,1117.988213,1216.320068,1466.896162,1642.629339,1630.415176,1555.883427,1438.174954,1356.453502,1318.746245,1350.990817,1371.400103,1444.50623,1585.40036,1854.152848,1877.664445,1823.550172,1747.538704,1617.076433,1464.288874
2017,7,4,1612.015265,1415.911496,1255.415473,1176.273297,1142.736231,1162.031471,1254.376347,1514.277506,1717.461456,1660.467036,1546.663065,1407.226607,1326.711006,1294.145204,1340.441191,1382.131232,1471.878209,1619.284325,1894.486233,1953.986241,1905.184526,1825.030614,1691.270443,1542.225669
2017,7,5,1683.198953,1480.518129,1303.646064,1221.028341,1192.908384,1205.586206,1309.128827,1579.929919,1782.779914,1670.374987,1490.962097,1362.956793,1303.780595,1258.910201,1294.325219,1361.201767,1470.73617,1632.049493,1933.143673,1986.642201,1931.972763,1843.847354,1717.700061,1566.725675
2017,7,6,2013.579927,1794.45776,1596.79891,1482.09213,1425.820672,1455.938998,1577.111716,1836.42733,2058.747319,2092.407025,2084.044162,1981.818629,2002.072926,1952.250484,2077.783772,2091.666291,2188.71093,2269.265969,2520.01036,2544.966567,2438.475575,2335.436122,2135.340665,1933.964614
2017,7,7,1730.951571,1524.604022,1358.468771,1265.632677,1221.043097,1235.468681,1322.574348,1570.069469,1796.849136,1756.710338,1615.815123,1497.323861,1387.868645,1349.220775,1428.095446,1477.178796,1591.847633,1729.038215,1983.134886,1982.371149,1897.539951,1820.878373,1703.991226,1569.651297
2017,7,8,1709.815364,1526.059611,1322.999856,1227.155146,1177.036727,1151.435098,1180.681285,1261.582585,1370.28211,1464.447091,1446.167914,1360.296587,1272.135636,1267.949844,1358.819183,1418.484509,1471.139666,1612.445957,1829.022277,1815.172361,1725.01357,1650.449272,1582.614894,1491.711616
2017,7,9,1664.334856,1451.244642,1262.214261,1163.932573,1118.59048,1098.777835,1121.308624,1172.921137,1258.152296,1320.133931,1300.186468,1220.624666,1191.518876,1160.435539,1186.647344,1260.608973,1361.027813,1543.881582,1798.301503,1826.592926,1790.764434,1723.533404,1635.451139,1485.387031
2017,7,10,1640.06257,1461.719349,1305.670933,1214.068812,1183.669241,1202.233046,1298.135884,1553.888833,1728.470498,1730.669271,1574.828931,1402.755133,1349.068228,1357.397786,1398.561225,1439.934058,1522.967327,1695.989216,2031.674684,2078.680175,2023.172341,1942.680192,1769.754275,1587.043542
